especificacao,categoria,subcategoria,trimestre,periodo,ano,mes,quantidade
Producao.Blocos,Producao,Blocos,2,Mai_2015,2015,Mai,84.0
Producao.Ferro-Gusa,Producao,Ferro-Gusa,2,Mai_2015,2015,Mai,2452.68
Vinterna.Planos,Vinterna,Planos,2,Mai_2015,2015,Mai,798.0
Vinterna.Longos,Vinterna,Longos,2,Mai_2015,2015,Mai,694.0
Vinterna.Placas,Vinterna,Placas,2,Mai_2015,2015,Mai,22.0
Vinterna.Blocos,Vinterna,Blocos,2,Mai_2015,2015,Mai,9.0
Vexterna.Planos,Vexterna,Planos,2,Mai_2015,2015,Mai,246.77
Vexterna.Longos,Vexterna,Longos,2,Mai_2015,2015,Mai,121.53
Vexterna.Placas,Vexterna,Placas,2,Mai_2015,2015,Mai,659.604
Vexterna.Blocos,Vexterna,Blocos,2,Mai_2015,2015,Mai,47.395
Cexterior.Planos,Cexterior,Planos,2,Mai_2015,2015,Mai,305.0
Cexterior.Longos,Cexterior,Longos,2,Mai_2015,2015,Mai,120.0
Cexterior.Placas,Cexterior,Placas,2,Mai_2015,2015,Mai,667.0
Cexterior.Blocos,Cexterior,Blocos,2,Mai_2015,2015,Mai,9.0
Importacao.Planos,Importacao,Planos,2,Mai_2015,2015,Mai,211.0
Importacao.Longos,Importacao,Longos,2,Mai_2015,2015,Mai,93.0
Importacao.Semiacabados p/ Venda,Importacao,Semiacabados p/ Venda,2,Mai_2015,2015,Mai,3.0
Caparente.Planos,Caparente,Planos,2,Mai_2015,2015,Mai,1030.0
Caparente.Longos,Caparente,Longos,2,Mai_2015,2015,Mai,795.0
Producao.Aco Bruto,Producao,Aco Bruto,2,Jun_2015,2015,Jun,2776.0
Producao.Planos,Producao,Planos,2,Jun_2015,2015,Jun,1140.0
Producao.Longos,Producao,Longos,2,Jun_2015,2015,Jun,710.0
Producao.Placas,Producao,Placas,2,Jun_2015,2015,Jun,718.0
Producao.Blocos,Producao,Blocos,2,Jun_2015,2015,Jun,143.0
Producao.Ferro-Gusa,Producao,Ferro-Gusa,2,Jun_2015,2015,Jun,2343.848
Vinterna.Planos,Vinterna,Planos,2,Jun_2015,2015,Jun,773.0
Vinterna.Longos,Vinterna,Longos,2,Jun_2015,2015,Jun,677.0
Vinterna.Placas,Vinterna,Placas,2,Jun_2015,2015,Jun,19.0
Vinterna.Blocos,Vinterna,Blocos,2,Jun_2015,2015,Jun,8.0
Vexterna.Planos,Vexterna,Planos,2,Jun_2015,2015,Jun,392.487
Vexterna.Longos,Vexterna,Longos,2,Jun_2015,2015,Jun,107.979
Vexterna.Placas,Vexterna,Placas,2,Jun_2015,2015,Jun,746.299
Vexterna.Blocos,Vexterna,Blocos,2,Jun_2015,2015,Jun,154.196
Cexterior.Planos,Cexterior,Planos,2,Jun_2015,2015,Jun,302.0
Cexterior.Longos,Cexterior,Longos,2,Jun_2015,2015,Jun,133.0
Cexterior.Placas,Cexterior,Placas,2,Jun_2015,2015,Jun,725.0
Cexterior.Blocos,Cexterior,Blocos,2,Jun_2015,2015,Jun,55.0
Importacao.Planos,Importacao,Planos,2,Jun_2015,2015,Jun,212.0
Importacao.Longos,Importacao,Longos,2,Jun_2015,2015,Jun,116.0
Importacao.Semiacabados p/ Venda,Importacao,Semiacabados p/ Venda,2,Jun_2015,2015,Jun,2.0
Caparente.Planos,Caparente,Planos,2,Jun_2015,2015,Jun,1003.0
Caparente.Longos,Caparente,Longos,2,Jun_2015,2015,Jun,793.0
Producao.Aco Bruto,Producao,Aco Bruto,3,Jul_2015,2015,Jul,2877.0
Producao.Planos,Producao,Planos,3,Jul_2015,2015,Jul,1136.0
Producao.Longos,Producao,Longos,3,Jul_2015,2015,Jul,789.0
Producao.Placas,Producao,Placas,3,Jul_2015,2015,Jul,753.0
Producao.Blocos,Producao,Blocos,3,Jul_2015,2015,Jul,150.0
Producao.Ferro-Gusa,Producao,Ferro-Gusa,3,Jul_2015,2015,Jul,2378.113
Vinterna.Planos,Vinterna,Planos,3,Jul_2015,2015,Jul,721.0
Vinterna.Longos,Vinterna,Longos,3,Jul_2015,2015,Jul,693.0
Vinterna.Placas,Vinterna,Placas,3,Jul_2015,2015,Jul,16.0
Vinterna.Blocos,Vinterna,Blocos,3,Jul_2015,2015,Jul,3.0
Vexterna.Planos,Vexterna,Planos,3,Jul_2015,2015,Jul,309.126
Vexterna.Longos,Vexterna,Longos,3,Jul_2015,2015,Jul,113.46
Vexterna.Placas,Vexterna,Placas,3,Jul_2015,2015,Jul,640.86
Vexterna.Blocos,Vexterna,Blocos,3,Jul_2015,2015,Jul,94.429
Cexterior.Planos,Cexterior,Planos,3,Jul_2015,2015,Jul,375.0
Cexterior.Longos,Cexterior,Longos,3,Jul_2015,2015,Jul,165.0
Cexterior.Placas,Cexterior,Placas,3,Jul_2015,2015,Jul,833.0
Cexterior.Blocos,Cexterior,Blocos,3,Jul_2015,2015,Jul,95.0
Importacao.Planos,Importacao,Planos,3,Jul_2015,2015,Jul,189.0
Importacao.Longos,Importacao,Longos,3,Jul_2015,2015,Jul,79.0
Importacao.Semiacabados p/ Venda,Importacao,Semiacabados p/ Venda,3,Jul_2015,2015,Jul,3.0
Caparente.Planos,Caparente,Planos,3,Jul_2015,2015,Jul,922.0
Caparente.Longos,Caparente,Longos,3,Jul_2015,2015,Jul,771.0
Producao.Aco Bruto,Producao,Aco Bruto,3,Ago_2015,2015,Ago,2799.0
Producao.Planos,Producao,Planos,3,Ago_2015,2015,Ago,1022.0
Producao.Longos,Producao,Longos,3,Ago_2015,2015,Ago,824.0
Producao.Placas,Producao,Placas,3,Ago_2015,2015,Ago,798.0
Producao.Blocos,Producao,Blocos,3,Ago_2015,2015,Ago,103.0
Producao.Ferro-Gusa,Producao,Ferro-Gusa,3,Ago_2015,2015,Ago,2365.971
Vinterna.Planos,Vinterna,Planos,3,Ago_2015,2015,Ago,833.0
Vinterna.Longos,Vinterna,Longos,3,Ago_2015,2015,Ago,724.0
Vinterna.Placas,Vinterna,Placas,3,Ago_2015,2015,Ago,12.0
Vinterna.Blocos,Vinterna,Blocos,3,Ago_2015,2015,Ago,7.0
Vexterna.Planos,Vexterna,Planos,3,Ago_2015,2015,Ago,387.157
Vexterna.Longos,Vexterna,Longos,3,Ago_2015,2015,Ago,108.414
Vexterna.Placas,Vexterna,Placas,3,Ago_2015,2015,Ago,676.56
Vexterna.Blocos,Vexterna,Blocos,3,Ago_2015,2015,Ago,133.466
Cexterior.Planos,Cexterior,Planos,3,Ago_2015,2015,Ago,387.0
Cexterior.Longos,Cexterior,Longos,3,Ago_2015,2015,Ago,117.0
Cexterior.Placas,Cexterior,Placas,3,Ago_2015,2015,Ago,758.0
Cexterior.Blocos,Cexterior,Blocos,3,Ago_2015,2015,Ago,32.0
Importacao.Planos,Importacao,Planos,3,Ago_2015,2015,Ago,122.0
Importacao.Longos,Importacao,Longos,3,Ago_2015,2015,Ago,78.0
Importacao.Semiacabados p/ Venda,Importacao,Semiacabados p/ Venda,3,Ago_2015,2015,Ago,4.0
Caparente.Planos,Caparente,Planos,3,Ago_2015,2015,Ago,965.0
Caparente.Longos,Caparente,Longos,3,Ago_2015,2015,Ago,808.0
Producao.Aco Bruto,Producao,Aco Bruto,3,Set_2015,2015,Set,2501.0
Producao.Planos,Producao,Planos,3,Set_2015,2015,Set,1003.0
Producao.Longos,Producao,Longos,3,Set_2015,2015,Set,669.0
Producao.Placas,Producao,Placas,3,Set_2015,2015,Set,737.0
Producao.Blocos,Producao,Blocos,3,Set_2015,2015,Set,76.0
Producao.Ferro-Gusa,Producao,Ferro-Gusa,3,Set_2015,2015,Set,2212.049
Vinterna.Planos,Vinterna,Planos,3,Set_2015,2015,Set,778.0
Vinterna.Longos,Vinterna,Longos,3,Set_2015,2015,Set,681.0
Vinterna.Placas,Vinterna,Placas,3,Set_2015,2015,Set,20.0
Vinterna.Blocos,Vinterna,Blocos,3,Set_2015,2015,Set,9.0
Vexterna.Planos,Vexterna,Planos,3,Set_2015,2015,Set,346.115
Vexterna.Longos,Vexterna,Longos,3,Set_2015,2015,Set,176.695
Vexterna.Placas,Vexterna,Placas,3,Set_2015,2015,Set,976.978
Vexterna.Blocos,Vexterna,Blocos,3,Set_2015,2015,Set,96.618
Cexterior.Planos,Cexterior,Planos,3,Set_2015,2015,Set,427.0
Cexterior.Longos,Cexterior,Longos,3,Set_2015,2015,Set,131.0
Cexterior.Placas,Cexterior,Placas,3,Set_2015,2015,Set,953.0
Cexterior.Blocos,Cexterior,Blocos,3,Set_2015,2015,Set,39.0
Importacao.Planos,Importacao,Planos,3,Set_2015,2015,Set,113.0
Importacao.Longos,Importacao,Longos,3,Set_2015,2015,Set,77.0
Importacao.Semiacabados p/ Venda,Importacao,Semiacabados p/ Venda,3,Set_2015,2015,Set,34.0
Caparente.Planos,Caparente,Planos,3,Set_2015,2015,Set,911.0
Caparente.Longos,Caparente,Longos,3,Set_2015,2015,Set,794.0
Producao.Aco Bruto,Producao,Aco Bruto,4,Out_2015,2015,Out,2983.0
Producao.Planos,Producao,Planos,4,Out_2015,2015,Out,1057.0
Producao.Longos,Producao,Longos,4,Out_2015,2015,Out,832.0
Producao.Placas,Producao,Placas,4,Out_2015,2015,Out,768.0
Producao.Blocos,Producao,Blocos,4,Out_2015,2015,Out,44.0
Producao.Ferro-Gusa,Producao,Ferro-Gusa,4,Out_2015,2015,Out,2445.078
Vinterna.Planos,Vinterna,Planos,4,Out_2015,2015,Out,775.0
Vinterna.Longos,Vinterna,Longos,4,Out_2015,2015,Out,651.0
Vinterna.Placas,Vinterna,Placas,4,Out_2015,2015,Out,19.0
Vinterna.Blocos,Vinterna,Blocos,4,Out_2015,2015,Out,8.0
Vexterna.Planos,Vexterna,Planos,4,Out_2015,2015,Out,257.49
Vexterna.Longos,Vexterna,Longos,4,Out_2015,2015,Out,86.676
Vexterna.Placas,Vexterna,Placas,4,Out_2015,2015,Out,448.17
Vexterna.Blocos,Vexterna,Blocos,4,Out_2015,2015,Out,23.518
Cexterior.Planos,Cexterior,Planos,4,Out_2015,2015,Out,361.0
Cexterior.Longos,Cexterior,Longos,4,Out_2015,2015,Out,146.0
Cexterior.Placas,Cexterior,Placas,4,Out_2015,2015,Out,667.0
Cexterior.Blocos,Cexterior,Blocos,4,Out_2015,2015,Out,42.0
Importacao.Planos,Importacao,Planos,4,Out_2015,2015,Out,110.0
Importacao.Longos,Importacao,Longos,4,Out_2015,2015,Out,80.0
Importacao.Semiacabados p/ Venda,Importacao,Semiacabados p/ Venda,4,Out_2015,2015,Out,2.0
Caparente.Planos,Caparente,Planos,4,Out_2015,2015,Out,905.0
Caparente.Longos,Caparente,Longos,4,Out_2015,2015,Out,734.0
Producao.Aco Bruto,Producao,Aco Bruto,4,Nov_2015,2015,Nov,2549.0
Producao.Planos,Producao,Planos,4,Nov_2015,2015,Nov,1059.0
Producao.Longos,Producao,Longos,4,Nov_2015,2015,Nov,785.0
Producao.Placas,Producao,Placas,4,Nov_2015,2015,Nov,705.0
Producao.Blocos,Producao,Blocos,4,Nov_2015,2015,Nov,117.0
Producao.Ferro-Gusa,Producao,Ferro-Gusa,4,Nov_2015,2015,Nov,2170.263
Vinterna.Planos,Vinterna,Planos,4,Nov_2015,2015,Nov,753.0
Vinterna.Longos,Vinterna,Longos,4,Nov_2015,2015,Nov,584.0
Vinterna.Placas,Vinterna,Placas,4,Nov_2015,2015,Nov,28.0
Vinterna.Blocos,Vinterna,Blocos,4,Nov_2015,2015,Nov,7.0
Vexterna.Planos,Vexterna,Planos,4,Nov_2015,2015,Nov,332.415
Vexterna.Longos,Vexterna,Longos,4,Nov_2015,2015,Nov,81.882
Vexterna.Placas,Vexterna,Placas,4,Nov_2015,2015,Nov,658.94
Vexterna.Blocos,Vexterna,Blocos,4,Nov_2015,2015,Nov,36.536
Cexterior.Planos,Cexterior,Planos,4,Nov_2015,2015,Nov,326.0
Cexterior.Longos,Cexterior,Longos,4,Nov_2015,2015,Nov,94.0
Cexterior.Placas,Cexterior,Placas,4,Nov_2015,2015,Nov,464.0
Cexterior.Blocos,Cexterior,Blocos,4,Nov_2015,2015,Nov,24.0
Importacao.Planos,Importacao,Planos,4,Nov_2015,2015,Nov,88.0
Importacao.Longos,Importacao,Longos,4,Nov_2015,2015,Nov,46.0
Importacao.Semiacabados p/ Venda,Importacao,Semiacabados p/ Venda,4,Nov_2015,2015,Nov,2.0
Caparente.Planos,Caparente,Planos,4,Nov_2015,2015,Nov,869.0
Caparente.Longos,Caparente,Longos,4,Nov_2015,2015,Nov,634.0
Producao.Aco Bruto,Producao,Aco Bruto,4,Dez_2015,2015,Dez,2462.0
Producao.Planos,Producao,Planos,4,Dez_2015,2015,Dez,1074.0
Producao.Longos,Producao,Longos,4,Dez_2015,2015,Dez,447.0
Producao.Placas,Producao,Placas,4,Dez_2015,2015,Dez,737.0
Producao.Blocos,Producao,Blocos,4,Dez_2015,2015,Dez,132.0
Producao.Ferro-Gusa,Producao,Ferro-Gusa,4,Dez_2015,2015,Dez,2292.573
Vinterna.Planos,Vinterna,Planos,4,Dez_2015,2015,Dez,642.0
Vinterna.Longos,Vinterna,Longos,4,Dez_2015,2015,Dez,463.0
Vinterna.Placas,Vinterna,Placas,4,Dez_2015,2015,Dez,17.0
Vinterna.Blocos,Vinterna,Blocos,4,Dez_2015,2015,Dez,3.0
Vexterna.Planos,Vexterna,Planos,4,Dez_2015,2015,Dez,365.331
Vexterna.Longos,Vexterna,Longos,4,Dez_2015,2015,Dez,136.201
Vexterna.Placas,Vexterna,Placas,4,Dez_2015,2015,Dez,880.66
Vexterna.Blocos,Vexterna,Blocos,4,Dez_2015,2015,Dez,250.2
Cexterior.Planos,Cexterior,Planos,4,Dez_2015,2015,Dez,298.0
Cexterior.Longos,Cexterior,Longos,4,Dez_2015,2015,Dez,112.0
Cexterior.Placas,Cexterior,Placas,4,Dez_2015,2015,Dez,1097.0
Cexterior.Blocos,Cexterior,Blocos,4,Dez_2015,2015,Dez,52.0
Importacao.Planos,Importacao,Planos,4,Dez_2015,2015,Dez,70.0
Importacao.Longos,Importacao,Longos,4,Dez_2015,2015,Dez,43.0
Importacao.Semiacabados p/ Venda,Importacao,Semiacabados p/ Venda,4,Dez_2015,2015,Dez,2.0
Caparente.Planos,Caparente,Planos,4,Dez_2015,2015,Dez,729.0
Caparente.Longos,Caparente,Longos,4,Dez_2015,2015,Dez,512.0
Producao.Aco Bruto,Producao,Aco Bruto,1,Jan_2016,2016,Jan,2516.0
Producao.Planos,Producao,Planos,1,Jan_2016,2016,Jan,949.0
Producao.Longos,Producao,Longos,1,Jan_2016,2016,Jan,680.0
Producao.Placas,Producao,Placas,1,Jan_2016,2016,Jan,556.0
Producao.Blocos,Producao,Blocos,1,Jan_2016,2016,Jan,152.0
Producao.Ferro-Gusa,Producao,Ferro-Gusa,1,Jan_2016,2016,Jan,2123.33
Vinterna.Planos,Vinterna,Planos,1,Jan_2016,2016,Jan,679.0
Vinterna.Longos,Vinterna,Longos,1,Jan_2016,2016,Jan,545.0
Vinterna.Placas,Vinterna,Placas,1,Jan_2016,2016,Jan,15.0
Vinterna.Blocos,Vinterna,Blocos,1,Jan_2016,2016,Jan,7.0
Vexterna.Planos,Vexterna,Planos,1,Jan_2016,2016,Jan,179.57
Vexterna.Longos,Vexterna,Longos,1,Jan_2016,2016,Jan,65.249
Vexterna.Placas,Vexterna,Placas,1,Jan_2016,2016,Jan,500.082
Vexterna.Blocos,Vexterna,Blocos,1,Jan_2016,2016,Jan,88.064
Cexterior.Planos,Cexterior,Planos,1,Jan_2016,2016,Jan,238.0
Cexterior.Longos,Cexterior,Longos,1,Jan_2016,2016,Jan,119.0
Cexterior.Placas,Cexterior,Placas,1,Jan_2016,2016,Jan,570.0
Cexterior.Blocos,Cexterior,Blocos,1,Jan_2016,2016,Jan,50.0
Importacao.Planos,Importacao,Planos,1,Jan_2016,2016,Jan,54.0
Importacao.Longos,Importacao,Longos,1,Jan_2016,2016,Jan,50.0
Importacao.Semiacabados p/ Venda,Importacao,Semiacabados p/ Venda,1,Jan_2016,2016,Jan,1.0
Caparente.Planos,Caparente,Planos,1,Jan_2016,2016,Jan,748.0
Caparente.Longos,Caparente,Longos,1,Jan_2016,2016,Jan,603.0
Producao.Aco Bruto,Producao,Aco Bruto,1,Fev_2016,2016,Fev,2453.0
Producao.Planos,Producao,Planos,1,Fev_2016,2016,Fev,973.0
Producao.Longos,Producao,Longos,1,Fev_2016,2016,Fev,742.0
Producao.Placas,Producao,Placas,1,Fev_2016,2016,Fev,472.0
Producao.Blocos,Producao,Blocos,1,Fev_2016,2016,Fev,144.0
Producao.Ferro-Gusa,Producao,Ferro-Gusa,1,Fev_2016,2016,Fev,1936.566
Vinterna.Planos,Vinterna,Planos,1,Fev_2016,2016,Fev,711.0
Vinterna.Longos,Vinterna,Longos,1,Fev_2016,2016,Fev,555.0
Vinterna.Placas,Vinterna,Placas,1,Fev_2016,2016,Fev,16.0
Vinterna.Blocos,Vinterna,Blocos,1,Fev_2016,2016,Fev,10.0
Vexterna.Planos,Vexterna,Planos,1,Fev_2016,2016,Fev,242.026
Vexterna.Longos,Vexterna,Longos,1,Fev_2016,2016,Fev,97.53
Vexterna.Placas,Vexterna,Placas,1,Fev_2016,2016,Fev,441.465
Vexterna.Blocos,Vexterna,Blocos,1,Fev_2016,2016,Fev,111.167
Cexterior.Planos,Cexterior,Planos,1,Fev_2016,2016,Fev,325.0
Cexterior.Longos,Cexterior,Longos,1,Fev_2016,2016,Fev,92.0
Cexterior.Placas,Cexterior,Placas,1,Fev_2016,2016,Fev,589.0
Cexterior.Blocos,Cexterior,Blocos,1,Fev_2016,2016,Fev,59.0
Importacao.Planos,Importacao,Planos,1,Fev_2016,2016,Fev,40.0
Importacao.Longos,Importacao,Longos,1,Fev_2016,2016,Fev,47.0
Importacao.Semiacabados p/ Venda,Importacao,Semiacabados p/ Venda,1,Fev_2016,2016,Fev,1.0
Caparente.Planos,Caparente,Planos,1,Fev_2016,2016,Fev,768.0
Caparente.Longos,Caparente,Longos,1,Fev_2016,2016,Fev,613.0
Producao.Aco Bruto,Producao,Aco Bruto,1,Mar_2016,2016,Mar,2529.0
Producao.Planos,Producao,Planos,1,Mar_2016,2016,Mar,1010.0
Producao.Longos,Producao,Longos,1,Mar_2016,2016,Mar,761.0
Producao.Placas,Producao,Placas,1,Mar_2016,2016,Mar,638.0
Producao.Blocos,Producao,Blocos,1,Mar_2016,2016,Mar,129.0
Producao.Ferro-Gusa,Producao,Ferro-Gusa,1,Mar_2016,2016,Mar,2097.748
Vinterna.Planos,Vinterna,Planos,1,Mar_2016,2016,Mar,833.0
Vinterna.Longos,Vinterna,Longos,1,Mar_2016,2016,Mar,628.0
Vinterna.Placas,Vinterna,Placas,1,Mar_2016,2016,Mar,17.0
Vinterna.Blocos,Vinterna,Blocos,1,Mar_2016,2016,Mar,18.0
Vexterna.Planos,Vexterna,Planos,1,Mar_2016,2016,Mar,284.75
Vexterna.Longos,Vexterna,Longos,1,Mar_2016,2016,Mar,149.849
Vexterna.Placas,Vexterna,Placas,1,Mar_2016,2016,Mar,659.116
Vexterna.Blocos,Vexterna,Blocos,1,Mar_2016,2016,Mar,122.71
Cexterior.Planos,Cexterior,Planos,1,Mar_2016,2016,Mar,352.0
Cexterior.Longos,Cexterior,Longos,1,Mar_2016,2016,Mar,156.0
Cexterior.Placas,Cexterior,Placas,1,Mar_2016,2016,Mar,651.0
Cexterior.Blocos,Cexterior,Blocos,1,Mar_2016,2016,Mar,56.0
Importacao.Planos,Importacao,Planos,1,Mar_2016,2016,Mar,74.0
Importacao.Longos,Importacao,Longos,1,Mar_2016,2016,Mar,74.0
Importacao.Semiacabados p/ Venda,Importacao,Semiacabados p/ Venda,1,Mar_2016,2016,Mar,27.0
Caparente.Planos,Caparente,Planos,1,Mar_2016,2016,Mar,924.0
Caparente.Longos,Caparente,Longos,1,Mar_2016,2016,Mar,748.0
Producao.Aco Bruto,Producao,Aco Bruto,2,Abr_2016,2016,Abr,2322.0
Producao.Planos,Producao,Planos,2,Abr_2016,2016,Abr,856.0
Producao.Longos,Producao,Longos,2,Abr_2016,2016,Abr,794.0
Producao.Placas,Producao,Placas,2,Abr_2016,2016,Abr,573.0
Producao.Blocos,Producao,Blocos,2,Abr_2016,2016,Abr,106.0
Producao.Ferro-Gusa,Producao,Ferro-Gusa,2,Abr_2016,2016,Abr,1854.489
Vinterna.Planos,Vinterna,Planos,2,Abr_2016,2016,Abr,728.0
Vinterna.Longos,Vinterna,Longos,2,Abr_2016,2016,Abr,641.0
Vinterna.Placas,Vinterna,Placas,2,Abr_2016,2016,Abr,17.0
Vinterna.Blocos,Vinterna,Blocos,2,Abr_2016,2016,Abr,18.0
Vexterna.Planos,Vexterna,Planos,2,Abr_2016,2016,Abr,198.036
Vexterna.Longos,Vexterna,Longos,2,Abr_2016,2016,Abr,111.01
Vexterna.Placas,Vexterna,Placas,2,Abr_2016,2016,Abr,505.077
Vexterna.Blocos,Vexterna,Blocos,2,Abr_2016,2016,Abr,73.883
Cexterior.Planos,Cexterior,Planos,2,Abr_2016,2016,Abr,268.0
Cexterior.Longos,Cexterior,Longos,2,Abr_2016,2016,Abr,143.0
Cexterior.Placas,Cexterior,Placas,2,Abr_2016,2016,Abr,561.0
Cexterior.Blocos,Cexterior,Blocos,2,Abr_2016,2016,Abr,40.0
Importacao.Planos,Importacao,Planos,2,Abr_2016,2016,Abr,66.0
Importacao.Longos,Importacao,Longos,2,Abr_2016,2016,Abr,44.0
Importacao.Semiacabados p/ Venda,Importacao,Semiacabados p/ Venda,2,Abr_2016,2016,Abr,2.0
Caparente.Planos,Caparente,Planos,2,Abr_2016,2016,Abr,811.0
Caparente.Longos,Caparente,Longos,2,Abr_2016,2016,Abr,706.0
Producao.Aco Bruto,Producao,Aco Bruto,2,Mai_2016,2016,Mai,2612.0
Producao.Planos,Producao,Planos,2,Mai_2016,2016,Mai,916.0
Producao.Longos,Producao,Longos,2,Mai_2016,2016,Mai,828.0
Producao.Placas,Producao,Placas,2,Mai_2016,2016,Mai,714.0
Producao.Blocos,Producao,Blocos,2,Mai_2016,2016,Mai,91.0
Producao.Ferro-Gusa,Producao,Ferro-Gusa,2,Mai_2016,2016,Mai,2115.0
Vinterna.Planos,Vinterna,Planos,2,Mai_2016,2016,Mai,755.0
Vinterna.Longos,Vinterna,Longos,2,Mai_2016,2016,Mai,605.0
Vinterna.Placas,Vinterna,Placas,2,Mai_2016,2016,Mai,14.0
Vinterna.Blocos,Vinterna,Blocos,2,Mai_2016,2016,Mai,17.0
Vexterna.Planos,Vexterna,Planos,2,Mai_2016,2016,Mai,221.495
Vexterna.Longos,Vexterna,Longos,2,Mai_2016,2016,Mai,151.189
Vexterna.Placas,Vexterna,Placas,2,Mai_2016,2016,Mai,763.566
Vexterna.Blocos,Vexterna,Blocos,2,Mai_2016,2016,Mai,80.836
Cexterior.Planos,Cexterior,Planos,2,Mai_2016,2016,Mai,185.0
Cexterior.Longos,Cexterior,Longos,2,Mai_2016,2016,Mai,141.0
Cexterior.Placas,Cexterior,Placas,2,Mai_2016,2016,Mai,837.0
Cexterior.Blocos,Cexterior,Blocos,2,Mai_2016,2016,Mai,39.0
Importacao.Planos,Importacao,Planos,2,Mai_2016,2016,Mai,72.0
Importacao.Longos,Importacao,Longos,2,Mai_2016,2016,Mai,95.0
Importacao.Semiacabados p/ Venda,Importacao,Semiacabados p/ Venda,2,Mai_2016,2016,Mai,2.0
Caparente.Planos,Caparente,Planos,2,Mai_2016,2016,Mai,841.0
Caparente.Longos,Caparente,Longos,2,Mai_2016,2016,Mai,719.0
Producao.Aco Bruto,Producao,Aco Bruto,2,Jun_2016,2016,Jun,2577.0
Producao.Planos,Producao,Planos,2,Jun_2016,2016,Jun,969.0
Producao.Longos,Producao,Longos,2,Jun_2016,2016,Jun,821.0
Producao.Placas,Producao,Placas,2,Jun_2016,2016,Jun,578.0
Producao.Blocos,Producao,Blocos,2,Jun_2016,2016,Jun,128.0
Producao.Ferro-Gusa,Producao,Ferro-Gusa,2,Jun_2016,2016,Jun,2149.622
Vinterna.Planos,Vinterna,Planos,2,Jun_2016,2016,Jun,815.0
Vinterna.Longos,Vinterna,Longos,2,Jun_2016,2016,Jun,656.0
Vinterna.Placas,Vinterna,Placas,2,Jun_2016,2016,Jun,18.0
Vinterna.Blocos,Vinterna,Blocos,2,Jun_2016,2016,Jun,20.0
Vexterna.Planos,Vexterna,Planos,2,Jun_2016,2016,Jun,227.071
Vexterna.Longos,Vexterna,Longos,2,Jun_2016,2016,Jun,212.486
Vexterna.Placas,Vexterna,Placas,2,Jun_2016,2016,Jun,582.385
Vexterna.Blocos,Vexterna,Blocos,2,Jun_2016,2016,Jun,81.233
Cexterior.Planos,Cexterior,Planos,2,Jun_2016,2016,Jun,263.0
Cexterior.Longos,Cexterior,Longos,2,Jun_2016,2016,Jun,198.0
Cexterior.Placas,Cexterior,Placas,2,Jun_2016,2016,Jun,732.0
Cexterior.Blocos,Cexterior,Blocos,2,Jun_2016,2016,Jun,21.0
Importacao.Planos,Importacao,Planos,2,Jun_2016,2016,Jun,46.0
Importacao.Longos,Importacao,Longos,2,Jun_2016,2016,Jun,44.0
Importacao.Semiacabados p/ Venda,Importacao,Semiacabados p/ Venda,2,Jun_2016,2016,Jun,2.0
Caparente.Planos,Caparente,Planos,2,Jun_2016,2016,Jun,880.0
Caparente.Longos,Caparente,Longos,2,Jun_2016,2016,Jun,721.0
Producao.Aco Bruto,Producao,Aco Bruto,3,Jul_2016,2016,Jul,2841.0
Producao.Planos,Producao,Planos,3,Jul_2016,2016,Jul,1111.0
Producao.Longos,Producao,Longos,3,Jul_2016,2016,Jul,818.0
Producao.Placas,Producao,Placas,3,Jul_2016,2016,Jul,677.0
Producao.Blocos,Producao,Blocos,3,Jul_2016,2016,Jul,100.0
Producao.Ferro-Gusa,Producao,Ferro-Gusa,3,Jul_2016,2016,Jul,2361.876
Vinterna.Planos,Vinterna,Planos,3,Jul_2016,2016,Jul,781.0
Vinterna.Longos,Vinterna,Longos,3,Jul_2016,2016,Jul,593.0
Vinterna.Placas,Vinterna,Placas,3,Jul_2016,2016,Jul,19.0
Vinterna.Blocos,Vinterna,Blocos,3,Jul_2016,2016,Jul,22.0
Vexterna.Planos,Vexterna,Planos,3,Jul_2016,2016,Jul,242.637
Vexterna.Longos,Vexterna,Longos,3,Jul_2016,2016,Jul,164.993
Vexterna.Placas,Vexterna,Placas,3,Jul_2016,2016,Jul,466.846
Vexterna.Blocos,Vexterna,Blocos,3,Jul_2016,2016,Jul,88.577
Cexterior.Planos,Cexterior,Planos,3,Jul_2016,2016,Jul,198.0
Cexterior.Longos,Cexterior,Longos,3,Jul_2016,2016,Jul,184.0
Cexterior.Placas,Cexterior,Placas,3,Jul_2016,2016,Jul,475.0
Cexterior.Blocos,Cexterior,Blocos,3,Jul_2016,2016,Jul,39.0
Importacao.Planos,Importacao,Planos,3,Jul_2016,2016,Jul,61.0
Importacao.Longos,Importacao,Longos,3,Jul_2016,2016,Jul,49.0
Importacao.Semiacabados p/ Venda,Importacao,Semiacabados p/ Venda,3,Jul_2016,2016,Jul,1.0
Caparente.Planos,Caparente,Planos,3,Jul_2016,2016,Jul,862.0
Caparente.Longos,Caparente,Longos,3,Jul_2016,2016,Jul,665.0
Producao.Aco Bruto,Producao,Aco Bruto,3,Ago_2016,2016,Ago,2961.0
Producao.Planos,Producao,Planos,3,Ago_2016,2016,Ago,1073.0
Producao.Longos,Producao,Longos,3,Ago_2016,2016,Ago,830.0
Producao.Placas,Producao,Placas,3,Ago_2016,2016,Ago,821.0
