especificacao,categoria,subcategoria,trimestre,periodo,ano,mes,valor
Importacao.milhoes(dolar),Importacao,milhoes(dolar),4,Dez_2018,2018,Dez,167.0
Exportacao.Total(mil_t),Exportacao,Total(mil_t),1,Jan_2019,2019,Jan,1583.373
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),1,Jan_2019,2019,Jan,945.938
Importacao.Total(mil_t),Importacao,Total(mil_t),1,Jan_2019,2019,Jan,176.99499999999998
Importacao.milhoes(dolar),Importacao,milhoes(dolar),1,Jan_2019,2019,Jan,212.029
Exportacao.Total(mil_t),Exportacao,Total(mil_t),1,Fev_2019,2019,Fev,896.697
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),1,Fev_2019,2019,Fev,544.591
Importacao.Total(mil_t),Importacao,Total(mil_t),1,Fev_2019,2019,Fev,203.575
Importacao.milhoes(dolar),Importacao,milhoes(dolar),1,Fev_2019,2019,Fev,205.436
Exportacao.Total(mil_t),Exportacao,Total(mil_t),1,Mar_2019,2019,Mar,811.44
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),1,Mar_2019,2019,Mar,463.936
Importacao.Total(mil_t),Importacao,Total(mil_t),1,Mar_2019,2019,Mar,232.662
Importacao.milhoes(dolar),Importacao,milhoes(dolar),1,Mar_2019,2019,Mar,215.534
Exportacao.Total(mil_t),Exportacao,Total(mil_t),2,Abr_2019,2019,Abr,1063.7659999999998
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),2,Abr_2019,2019,Abr,616.32
Importacao.Total(mil_t),Importacao,Total(mil_t),2,Abr_2019,2019,Abr,244.26299999999998
Importacao.milhoes(dolar),Importacao,milhoes(dolar),2,Abr_2019,2019,Abr,226.883
Exportacao.Total(mil_t),Exportacao,Total(mil_t),2,Mai_2019,2019,Mai,1235.019
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),2,Mai_2019,2019,Mai,759.757
Importacao.Total(mil_t),Importacao,Total(mil_t),2,Mai_2019,2019,Mai,232.579
Importacao.milhoes(dolar),Importacao,milhoes(dolar),2,Mai_2019,2019,Mai,237.079
Exportacao.Total(mil_t),Exportacao,Total(mil_t),2,Jun_2019,2019,Jun,1099.256
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),2,Jun_2019,2019,Jun,685.512
Importacao.Total(mil_t),Importacao,Total(mil_t),2,Jun_2019,2019,Jun,167.665
Importacao.milhoes(dolar),Importacao,milhoes(dolar),2,Jun_2019,2019,Jun,180.271
Exportacao.Total(mil_t),Exportacao,Total(mil_t),3,Jul_2019,2019,Jul,999.5999999999999
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),3,Jul_2019,2019,Jul,582.047
Importacao.Total(mil_t),Importacao,Total(mil_t),3,Jul_2019,2019,Jul,201.16799999999998
Importacao.milhoes(dolar),Importacao,milhoes(dolar),3,Jul_2019,2019,Jul,220.66
Exportacao.Total(mil_t),Exportacao,Total(mil_t),3,Ago_2019,2019,Ago,917.096
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),3,Ago_2019,2019,Ago,537.597
Importacao.Total(mil_t),Importacao,Total(mil_t),3,Ago_2019,2019,Ago,250.81599999999997
Importacao.milhoes(dolar),Importacao,milhoes(dolar),3,Ago_2019,2019,Ago,231.475
Exportacao.Total(mil_t),Exportacao,Total(mil_t),3,Set_2019,2019,Set,955.5059999999999
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),3,Set_2019,2019,Set,522.876
Importacao.Total(mil_t),Importacao,Total(mil_t),3,Set_2019,2019,Set,184.447
Importacao.milhoes(dolar),Importacao,milhoes(dolar),3,Set_2019,2019,Set,210.793
Exportacao.Total(mil_t),Exportacao,Total(mil_t),4,Out_2019,2019,Out,1144.431
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),4,Out_2019,2019,Out,603.985
Importacao.Total(mil_t),Importacao,Total(mil_t),4,Out_2019,2019,Out,209.588
Importacao.milhoes(dolar),Importacao,milhoes(dolar),4,Out_2019,2019,Out,218.645
Exportacao.Total(mil_t),Exportacao,Total(mil_t),4,Nov_2019,2019,Nov,1089.096
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),4,Nov_2019,2019,Nov,543.473
Importacao.Total(mil_t),Importacao,Total(mil_t),4,Nov_2019,2019,Nov,128.04500000000002
Importacao.milhoes(dolar),Importacao,milhoes(dolar),4,Nov_2019,2019,Nov,156.337
Exportacao.Total(mil_t),Exportacao,Total(mil_t),4,Dez_2019,2019,Dez,1009.5360000000001
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),4,Dez_2019,2019,Dez,501.933
Importacao.Total(mil_t),Importacao,Total(mil_t),4,Dez_2019,2019,Dez,133.344
Importacao.milhoes(dolar),Importacao,milhoes(dolar),4,Dez_2019,2019,Dez,147.825
Exportacao.Total(mil_t),Exportacao,Total(mil_t),1,Jan_2020,2020,Jan,1107.379
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),1,Jan_2020,2020,Jan,528.943
Importacao.Total(mil_t),Importacao,Total(mil_t),1,Jan_2020,2020,Jan,227.986
Importacao.milhoes(dolar),Importacao,milhoes(dolar),1,Jan_2020,2020,Jan,228.548
Exportacao.Total(mil_t),Exportacao,Total(mil_t),1,Fev_2020,2020,Fev,749.8230000000001
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),1,Fev_2020,2020,Fev,385.54
Importacao.Total(mil_t),Importacao,Total(mil_t),1,Fev_2020,2020,Fev,149.397
Importacao.milhoes(dolar),Importacao,milhoes(dolar),1,Fev_2020,2020,Fev,161.795
Exportacao.Total(mil_t),Exportacao,Total(mil_t),1,Mar_2020,2020,Mar,1390.978
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),1,Mar_2020,2020,Mar,724.126
Importacao.Total(mil_t),Importacao,Total(mil_t),1,Mar_2020,2020,Mar,141.57799999999997
Importacao.milhoes(dolar),Importacao,milhoes(dolar),1,Mar_2020,2020,Mar,173.181
Exportacao.Total(mil_t),Exportacao,Total(mil_t),2,Abr_2020,2020,Abr,882.8820000000001
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),2,Abr_2020,2020,Abr,481.439
Importacao.Total(mil_t),Importacao,Total(mil_t),2,Abr_2020,2020,Abr,185.745
Importacao.milhoes(dolar),Importacao,milhoes(dolar),2,Abr_2020,2020,Abr,181.931
Exportacao.Total(mil_t),Exportacao,Total(mil_t),2,Mai_2020,2020,Mai,939.89
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),2,Mai_2020,2020,Mai,463.58
Importacao.Total(mil_t),Importacao,Total(mil_t),2,Mai_2020,2020,Mai,148.924
Importacao.milhoes(dolar),Importacao,milhoes(dolar),2,Mai_2020,2020,Mai,162.71
Exportacao.Total(mil_t),Exportacao,Total(mil_t),2,Jun_2020,2020,Jun,1075.817
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),2,Jun_2020,2020,Jun,478.601
Importacao.Total(mil_t),Importacao,Total(mil_t),2,Jun_2020,2020,Jun,190.127
Importacao.milhoes(dolar),Importacao,milhoes(dolar),2,Jun_2020,2020,Jun,181.871
Exportacao.Total(mil_t),Exportacao,Total(mil_t),3,Jul_2020,2020,Jul,875.307
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),3,Jul_2020,2020,Jul,392.279
Importacao.Total(mil_t),Importacao,Total(mil_t),3,Jul_2020,2020,Jul,145.508
Importacao.milhoes(dolar),Importacao,milhoes(dolar),3,Jul_2020,2020,Jul,168.354
Exportacao.Total(mil_t),Exportacao,Total(mil_t),3,Ago_2020,2020,Ago,840.7360000000001
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),3,Ago_2020,2020,Ago,380.447
Importacao.Total(mil_t),Importacao,Total(mil_t),3,Ago_2020,2020,Ago,129.39399999999998
Importacao.milhoes(dolar),Importacao,milhoes(dolar),3,Ago_2020,2020,Ago,150.392
Exportacao.Total(mil_t),Exportacao,Total(mil_t),3,Set_2020,2020,Set,756.2249999999999
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),3,Set_2020,2020,Set,379.417
Importacao.Total(mil_t),Importacao,Total(mil_t),3,Set_2020,2020,Set,142.192
Importacao.milhoes(dolar),Importacao,milhoes(dolar),3,Set_2020,2020,Set,170.771
Exportacao.Total(mil_t),Exportacao,Total(mil_t),4,Out_2020,2020,Out,842.296
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),4,Out_2020,2020,Out,416.419
Importacao.Total(mil_t),Importacao,Total(mil_t),4,Out_2020,2020,Out,162.524
Importacao.milhoes(dolar),Importacao,milhoes(dolar),4,Out_2020,2020,Out,163.881
Exportacao.Total(mil_t),Exportacao,Total(mil_t),4,Nov_2020,2020,Nov,514.38
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),4,Nov_2020,2020,Nov,298.544
Importacao.Total(mil_t),Importacao,Total(mil_t),4,Nov_2020,2020,Nov,198.828
Importacao.milhoes(dolar),Importacao,milhoes(dolar),4,Nov_2020,2020,Nov,194.721
Exportacao.Total(mil_t),Exportacao,Total(mil_t),4,Dez_2020,2020,Dez,766.327
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),4,Dez_2020,2020,Dez,434.077
Importacao.Total(mil_t),Importacao,Total(mil_t),4,Dez_2020,2020,Dez,204.06199999999998
Importacao.milhoes(dolar),Importacao,milhoes(dolar),4,Dez_2020,2020,Dez,204.669
Exportacao.Total(mil_t),Exportacao,Total(mil_t),1,Jan_2021,2021,Jan,531.149
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),1,Jan_2021,2021,Jan,314.156
Importacao.Total(mil_t),Importacao,Total(mil_t),1,Jan_2021,2021,Jan,324.474
Importacao.milhoes(dolar),Importacao,milhoes(dolar),1,Jan_2021,2021,Jan,288.068
Exportacao.Total(mil_t),Exportacao,Total(mil_t),1,Fev_2021,2021,Fev,765.572
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),1,Fev_2021,2021,Fev,522.292
Importacao.Total(mil_t),Importacao,Total(mil_t),1,Fev_2021,2021,Fev,333.87
Importacao.milhoes(dolar),Importacao,milhoes(dolar),1,Fev_2021,2021,Fev,293.092
